id,is_iceberg,angle,pred,band_1_max,band_1_min,band_1_mean,band_1_median,band_1_coords,band_1_x,band_1_y,band_2_max,band_2_min,band_2_mean,band_2_median,band_2_coords,band_2_x,band_2_y
000d71b1,0,34.8374,,0.739588748985173,0.27148356054890704,0.41126261225086175,0.41013539054814324,"(34, 35)",34,35,0.6679015848552998,0.10999256192314892,0.2773493130662843,0.2741385511449922,"(35, 34)",35,34
0015055d,0,43.108,,0.7854542222490783,0.07551240915913983,0.24409140482249694,0.21620558467501902,"(38, 40)",38,40,0.5959073925280408,0.07554882926195966,0.20824142399283807,0.1944800709995072,"(46, 54)",46,54
004300e6,1,42.5591,,0.4545359331054697,0.13019053771327818,0.2701420853635138,0.2718499552588634,"(36, 35)",36,35,0.3328572171431842,0.07488484167899612,0.1972565812280802,0.1996945896429105,"(36, 35)",36,35
00c5b3e0,0,na,,0.4556411623242737,0.2157543717584613,0.34405843293479454,0.34478285641694795,"(39, 34)",39,34,0.4277281199688657,0.13128411299774387,0.24652178176194706,0.24693830579165887,"(38, 35)",38,35
00e759b3,0,na,,0.7954134003243858,0.25266264355403567,0.37946680871974764,0.37579515978079936,"(35, 35)",35,35,0.5612640971473961,0.13994969189739717,0.26266023269556804,0.26185555363442214,"(35, 34)",35,34
00f3862a,1,45.2814,,0.6081054222627987,0.16945565881149116,0.29438271614983413,0.2909252520889335,"(29, 36)",29,36,0.48822214757056726,0.10887393379588108,0.2628956696411883,0.2622876092279018,"(37, 35)",37,35
00f7ef1c,1,34.4748,,0.6192521549433322,0.1408333592586632,0.27020471385869976,0.26565167005989354,"(41, 31)",41,31,0.42656786174460326,0.12113781137567575,0.25053768533204,0.25040362497933455,"(37, 36)",37,36
010355ab,1,39.9784,,0.4857958109054302,0.14715573704615964,0.27888106849319255,0.2801575651807664,"(46, 48)",46,48,0.3266516778374925,0.10325870677275313,0.23078180956320718,0.2308737873177674,"(45, 49)",45,49
0113e164,0,43.2268,,0.45852022006217696,0.031259341843622016,0.18967216293852668,0.18792148603591938,"(21, 39)",21,39,0.38808644591846564,0.07516013627549935,0.18209383520030056,0.18136478315156684,"(21, 39)",21,39
01208f76,1,42.5682,,0.4991826665837057,0.11881396701221143,0.29357763400520487,0.2930844456795538,"(41, 34)",41,34,0.36931417630939367,0.09162305727044961,0.21273174309354198,0.21558985809072712,"(42, 36)",42,36
0125e614,0,37.2103,,0.6791166831292512,0.20889656112464877,0.3658066812699397,0.36381312045047853,"(39, 42)",39,42,0.5946619172459483,0.1338488759674386,0.2640701195505594,0.26222720819495693,"(39, 41)",39,41
01944ac7,0,35.7863,,0.8257265050202407,0.21216631856925686,0.3575437433836398,0.34444446854170624,"(35, 42)",35,42,0.683565955834007,0.1504619519858902,0.2832285013459789,0.2799148891363096,"(36, 41)",36,41
01d13585,1,32.7838,,0.6167782552691737,0.29092978902165983,0.41888785092288305,0.4176549950831615,"(39, 37)",39,37,0.5157706149747497,0.15527459062408447,0.291487915760582,0.2864566101713844,"(26, 41)",26,41
01d46a63,0,35.7863,,0.6835328262538238,0.23038589255227096,0.36007241990286243,0.35826602220285136,"(38, 42)",38,42,0.5960293786835158,0.17369623261083425,0.2837205506079169,0.28321972056084066,"(38, 42)",38,42
01d4c808,1,44.6246,,0.5109978365312228,0.10828549112845184,0.24477625355229649,0.24393544213954968,"(38, 35)",38,35,0.33675570122931936,0.07715376921391007,0.21918510247451956,0.22261420157661901,"(37, 38)",37,38
020f5eaa,0,na,,0.5741210415760527,0.23743902811123402,0.3652392257220753,0.3659012686659882,"(37, 37)",37,37,0.488592842395333,0.13250686622390195,0.27706040047455327,0.27756845982202066,"(40, 35)",40,35
02237e77,0,na,,0.606928561856142,0.23242427161290055,0.3717492538390927,0.3713195005744455,"(38, 38)",38,38,0.5885448855207233,0.12100910706981749,0.2680820073003513,0.2655334106705866,"(39, 37)",39,37
02314c59,0,41.0303,,0.574204650764867,0.1286229152794122,0.25623709877255973,0.25787539229511164,"(38, 47)",38,47,0.5207115092111699,0.13892839593403078,0.25407036951948775,0.25456801819399766,"(38, 47)",38,47
02530ece,1,34.4721,,0.638888610523969,0.2202708384311506,0.3568819130318634,0.35394516712963325,"(34, 30)",34,30,0.4218763866312248,0.09687584070360544,0.24940783819110868,0.250274110506918,"(37, 31)",37,31
025f1df9,1,45.2859,,0.5481056959744545,0.1085138209927766,0.26095722152833184,0.2586052775795155,"(37, 35)",37,35,0.4025901972139843,0.121251695865568,0.23305860544681434,0.23188413980054645,"(31, 39)",31,39
02b582a3,1,45.2909,,0.4953697360861247,0.1528126689508877,0.2725021936219301,0.2747237282179866,"(37, 37)",37,37,0.3357150859095633,0.12168745329701398,0.25927068477149895,0.26232329394876874,"(64, 60)",64,60
02d46759,0,35.769800000000004,,0.610929637956757,0.20804482678987982,0.3278940905625839,0.3286229377147939,"(37, 34)",37,34,0.48724440117573364,0.1424366290210934,0.26616520555717643,0.2672319061638669,"(37, 34)",37,34
02e48c95,0,na,,0.6840156107379526,0.10673766168680963,0.2474750729681704,0.24237274302553785,"(36, 35)",36,35,0.5033734089076642,0.03172183477149119,0.18705878927291392,0.18834072853367728,"(37, 38)",37,38
0334eec4,1,37.2861,,0.4715561614438096,0.1608211155230704,0.28323577615086365,0.28477540238604776,"(35, 37)",35,37,0.3521799637683544,0.12440470207707759,0.2443240515821886,0.24685955760219416,"(38, 35)",38,35
034e5ac4,0,33.1761,,0.4995516538266485,0.2037712106590598,0.328061301822934,0.32910958607020063,"(37, 33)",37,33,0.3740105248862227,0.11842018867258522,0.25518322033988816,0.25708464480602966,"(37, 33)",37,33
036e1d89,0,33.9178,,0.6646305062159967,0.15608607837705837,0.3311938161573702,0.3318707957341266,"(37, 34)",37,34,0.424474229324699,0.12999891462609395,0.24720597032427205,0.24891705659359914,"(37, 34)",37,34
038b8949,1,39.234,,0.5476737774860846,0.10237623596517309,0.2466019910852762,0.24552794291880525,"(45, 43)",45,43,0.33248505155451274,0.08794517530608342,0.20984014286274896,0.21191926762538538,"(45, 43)",45,43
03c9f99d,0,43.244,,0.7497067446341049,0.1593338491476848,0.3589842416339127,0.3519230911129764,"(35, 33)",35,33,0.5701304727124935,0.05587868321659957,0.22880775464285544,0.22569553920797322,"(45, 35)",45,35
046e4235,0,35.7139,,0.7576903377890999,0.18630527853675846,0.3391024086182533,0.31663057810893064,"(45, 30)",45,30,0.6598013152518117,0.15906282973778924,0.29719607707658185,0.2806000407625956,"(37, 34)",37,34
047bb667,0,39.5508,,0.5265720048117413,0.19641980916564114,0.3549329757565593,0.35603917347256436,"(36, 37)",36,37,0.31724716471618447,0.13723516029132887,0.24637872851501996,0.24940638473069868,"(74, 21)",74,21
0498f9ab,1,45.2859,,0.4728721461446741,0.13293630435619327,0.25683456638633856,0.25886636310099653,"(37, 35)",37,35,0.3355942963077744,0.10880931989683312,0.24747254207099378,0.24822710628846797,"(2, 39)",2,39
04b03693,0,38.9233,,0.3620343436833233,0.08795901045807861,0.22191007171367252,0.2213860513947728,"(37, 34)",37,34,0.2894300710094785,0.0879768465864617,0.20930365770729367,0.21194271259917186,"(33, 29)",33,29
04bfcaec,0,na,,0.504606544729869,0.24467958635537923,0.37567805462041565,0.37735006883175076,"(38, 33)",38,33,0.4273958021107606,0.1384990450504457,0.2523242928539443,0.25438212859322584,"(40, 34)",40,34
04dd72e9,1,43.2697,,0.43212455734992083,0.15902926391407468,0.2901996765205743,0.2910269965445524,"(36, 36)",36,36,0.2910153924666177,0.0919872707627491,0.20859196587544115,0.21093219808308114,"(38, 35)",38,35
04e11240,0,na,,0.6455562439063011,0.05672839836702325,0.21621991833122245,0.21209378996613953,"(37, 32)",37,32,0.5212182372331212,0.032562264166746964,0.1986640664380673,0.20123748330059765,"(36, 33)",36,33
04e6f331,0,na,,0.7929283826722275,0.2234392876636711,0.3508927591506498,0.3453525530766287,"(35, 37)",35,37,0.6229395719448845,0.13898221592170235,0.27123684171515866,0.26735664688564,"(33, 39)",33,39
04f859f9,0,33.079,,0.7402066193948191,0.16215608304960055,0.349134614594157,0.3434291927390729,"(36, 36)",36,36,0.5797589407987116,0.12862257874868804,0.2609052804711869,0.25698034520972696,"(43, 46)",43,46
05149841,0,43.8076,,0.46140402662252183,0.09268630739743394,0.22825399666103913,0.23046978841540594,"(31, 38)",31,38,0.40120315467390827,0.07596230088100256,0.18366560567143403,0.18218297659082314,"(31, 38)",31,38
0516529a,0,33.9303,,0.6493230946228673,0.231705192703974,0.34155181958478753,0.34118546761617197,"(35, 37)",35,37,0.5458786104262503,0.13049759083886592,0.2473720103867951,0.24615699362695567,"(34, 36)",34,36
058a5768,0,39.5048,,0.7158479148356903,0.10265472137150576,0.2507987247064339,0.23826752936193177,"(36, 37)",36,37,0.5554279563999769,0.1026553819688533,0.21968833359712914,0.21699572142315704,"(36, 37)",36,37
05a82a73,0,31.3432,,0.6782811895179505,0.1739551244505575,0.31053693744166944,0.3049079665746716,"(39, 42)",39,42,0.6216898214761843,0.14494191330130954,0.272502520854989,0.26928124116918456,"(35, 35)",35,35
05c4d0bf,0,31.2884,,0.5650781369499568,0.24162561988959402,0.36904273061173654,0.3702660347666651,"(35, 34)",35,34,0.38559908501533885,0.14409178683555626,0.2633302794269723,0.2657443780423624,"(36, 32)",36,32
