id,id,is_iceberg,predicted,prob,inc_angle,highlight
000d71b1,000d71b1,0,,,34.8374,"(44.0, 44.0)"
0015055d,0015055d,0,,,43.108,"(52.0, 60.0)"
004300e6,004300e6,1,,,42.5591,"(30.0, 6.0)"
00c5b3e0,00c5b3e0,0,,,na,"(48.0, 72.0)"
00e759b3,00e759b3,0,,,na,"(25.0, 1.0)"
00f3862a,00f3862a,1,,,45.2814,"(29.0, 36.0)"
00f7ef1c,00f7ef1c,1,,,34.4748,"(41.0, 30.0)"
010355ab,010355ab,1,,,39.9784,"(45.0, 48.0)"
0113e164,0113e164,0,,,43.2268,"(21.0, 39.0)"
01208f76,01208f76,1,,,42.5682,"(45.0, 42.0)"
0125e614,0125e614,0,,,37.2103,"(41.0, 30.0)"
01944ac7,01944ac7,0,,,35.7863,"(36.0, 22.0)"
01d13585,01d13585,1,,,32.7838,"(26.0, 47.0)"
01d46a63,01d46a63,0,,,35.7863,"(0.0, 24.0)"
01d4c808,01d4c808,1,,,44.6246,"(47.0, 39.0)"
020f5eaa,020f5eaa,0,,,na,"(9.0, 8.0)"
02237e77,02237e77,0,,,na,"(34.0, 5.0)"
02314c59,02314c59,0,,,41.0303,"(38.0, 47.0)"
02530ece,02530ece,1,,,34.4721,"(29.0, 39.0)"
025f1df9,025f1df9,1,,,45.2859,"(33.0, 34.0)"
02b582a3,02b582a3,1,,,45.2909,"(18.0, 37.0)"
02d46759,02d46759,0,,,35.769800000000004,"(25.0, 37.0)"
02e48c95,02e48c95,0,,,na,"(37.0, 40.0)"
0334eec4,0334eec4,1,,,37.2861,"(19.0, 15.0)"
034e5ac4,034e5ac4,0,,,33.1761,"(57.0, 27.0)"
036e1d89,036e1d89,0,,,33.9178,"(10.0, 30.0)"
038b8949,038b8949,1,,,39.234,"(44.0, 43.0)"
03c9f99d,03c9f99d,0,,,43.244,"(46.0, 35.0)"
046e4235,046e4235,0,,,35.7139,"(45.0, 30.0)"
047bb667,047bb667,0,,,39.5508,"(8.0, 55.0)"
0498f9ab,0498f9ab,1,,,45.2859,"(50.0, 68.0)"
04b03693,04b03693,0,,,38.9233,"(67.0, 3.0)"
04bfcaec,04bfcaec,0,,,na,"(64.0, 14.0)"
04dd72e9,04dd72e9,1,,,43.2697,"(55.0, 17.0)"
04e11240,04e11240,0,,,na,"(32.0, 34.0)"
04e6f331,04e6f331,0,,,na,"(33.0, 39.0)"
04f859f9,04f859f9,0,,,33.079,"(44.0, 46.0)"
05149841,05149841,0,,,43.8076,"(31.0, 39.0)"
0516529a,0516529a,0,,,33.9303,"(42.0, 45.0)"
058a5768,058a5768,0,,,39.5048,"(46.0, 49.0)"
05a82a73,05a82a73,0,,,31.3432,"(43.0, 46.0)"
05c4d0bf,05c4d0bf,0,,,31.2884,"(49.0, 13.0)"
05cf0527,05cf0527,0,,,34.0331,"(51.0, 25.0)"
05f4cebf,05f4cebf,0,,,43.2159,"(35.0, 35.0)"
060a48a5,060a48a5,0,,,44.483,"(13.0, 20.0)"
0615d2f8,0615d2f8,1,,,43.9409,"(27.0, 56.0)"
062857c0,062857c0,1,,,45.2853,"(41.0, 25.0)"
0645d7de,0645d7de,0,,,43.4742,"(48.0, 35.0)"
06b6ac23,06b6ac23,1,,,35.2954,"(26.0, 25.0)"
06ebccea,06ebccea,0,,,40.9834,"(40.0, 51.0)"
0717d705,0717d705,0,,,42.5378,"(53.0, 26.0)"
0719d5e2,0719d5e2,0,,,na,"(51.0, 19.0)"
07623257,07623257,0,,,37.1598,"(49.0, 45.0)"
076a815e,076a815e,1,,,34.4718,"(26.0, 22.0)"
076d3642,076d3642,1,,,40.3958,"(17.0, 2.0)"
07d60155,07d60155,0,,,31.5671,"(28.0, 12.0)"
07ecb0dd,07ecb0dd,1,,,43.2611,"(39.0, 61.0)"
08367f44,08367f44,1,,,42.5577,"(60.0, 74.0)"
083a41f9,083a41f9,0,,,40.9858,"(65.0, 41.0)"
0840a539,0840a539,0,,,40.4793,"(30.0, 37.0)"
08531b1d,08531b1d,0,,,32.178,"(7.0, 24.0)"
0859ef5e,0859ef5e,0,,,43.9131,"(65.0, 7.0)"
0867ca68,0867ca68,0,,,36.6134,"(1.0, 9.0)"
08955acb,08955acb,0,,,35.5647,"(40.0, 45.0)"
08aa087c,08aa087c,0,,,37.3661,"(41.0, 34.0)"
08db8953,08db8953,0,,,37.3143,"(18.0, 11.0)"
08e45f85,08e45f85,1,,,38.0331,"(40.0, 37.0)"
08fb43c6,08fb43c6,1,,,41.1294,"(27.0, 37.0)"
0925dff9,0925dff9,0,,,42.5093,"(59.0, 52.0)"
09aa6df7,09aa6df7,0,,,38.9132,"(36.0, 33.0)"
09ecea99,09ecea99,0,,,40.4862,"(39.0, 43.0)"
0a0c6272,0a0c6272,1,,,39.9798,"(50.0, 48.0)"
0a192892,0a192892,1,,,35.2954,"(39.0, 40.0)"
0a2e9a0a,0a2e9a0a,0,,,43.1087,"(35.0, 51.0)"
0a982892,0a982892,1,,,43.2611,"(53.0, 38.0)"
0abde10f,0abde10f,1,,,35.2975,"(29.0, 60.0)"
0aebf04a,0aebf04a,0,,,38.7481,"(58.0, 52.0)"
0b13cae5,0b13cae5,1,,,36.1061,"(48.0, 66.0)"
0b1d356b,0b1d356b,1,,,37.7043,"(61.0, 6.0)"
0b2e007c,0b2e007c,1,,,32.785,"(55.0, 56.0)"
0b36db0e,0b36db0e,1,,,33.634,"(60.0, 47.0)"
0b44f893,0b44f893,0,,,39.5309,"(34.0, 58.0)"
0b59fa1e,0b59fa1e,1,,,36.9031,"(28.0, 45.0)"
0b85842b,0b85842b,0,,,40.3085,"(17.0, 31.0)"
0b87e9b9,0b87e9b9,1,,,43.9577,"(50.0, 9.0)"
0bd98db1,0bd98db1,0,,,na,"(43.0, 32.0)"
0c2cf1d0,0c2cf1d0,1,,,43.9459,"(23.0, 41.0)"
0c33ca9e,0c33ca9e,1,,,40.4053,"(35.0, 26.0)"
0c3b2f7a,0c3b2f7a,0,,,38.7496,"(54.0, 6.0)"
0c4dee0f,0c4dee0f,0,,,34.0352,"(41.0, 33.0)"
0c954027,0c954027,1,,,40.7129,"(54.0, 46.0)"
0cf852fc,0cf852fc,0,,,42.4098,"(31.0, 46.0)"
0d179546,0d179546,1,,,45.3015,"(22.0, 47.0)"
0d276791,0d276791,0,,,38.137,"(20.0, 46.0)"
0d33dfaf,0d33dfaf,0,,,43.7937,"(35.0, 41.0)"
0d3b11df,0d3b11df,0,,,40.2484,"(41.0, 47.0)"
0d3ec646,0d3ec646,1,,,42.5603,"(32.0, 11.0)"
0d42590b,0d42590b,1,,,34.4878,"(23.0, 47.0)"
0d42919f,0d42919f,0,,,43.8395,"(38.0, 38.0)"
0daec640,0daec640,0,,,na,"(37.0, 36.0)"
0df5c436,0df5c436,0,,,na,"(39.0, 36.0)"
0e1f745a,0e1f745a,0,,,na,"(20.0, 15.0)"
0e5ff047,0e5ff047,0,,,35.6291,"(38.0, 34.0)"
0e715566,0e715566,1,,,37.2844,"(11.0, 66.0)"
0ecf7d79,0ecf7d79,0,,,34.1216,"(46.0, 3.0)"
0f35dc1d,0f35dc1d,0,,,37.348,"(42.0, 30.0)"
0f383168,0f383168,0,,,32.3102,"(36.0, 4.0)"
0f467f8a,0f467f8a,1,,,37.6866,"(22.0, 70.0)"
0f7ef121,0f7ef121,1,,,40.3944,"(29.0, 49.0)"
0f962f75,0f962f75,1,,,37.2802,"(16.0, 1.0)"
10ceaa35,10ceaa35,1,,,39.6261,"(70.0, 5.0)"
1123c599,1123c599,1,,,43.256,"(37.0, 50.0)"
112a6cfa,112a6cfa,1,,,38.0669,"(35.0, 35.0)"
1130ed26,1130ed26,0,,,38.7816,"(17.0, 42.0)"
11391666,11391666,1,,,41.1227,"(32.0, 26.0)"
11581b71,11581b71,1,,,45.4055,"(24.0, 32.0)"
11623106,11623106,1,,,37.6877,"(38.0, 41.0)"
11745012,11745012,0,,,34.7608,"(26.0, 1.0)"
119f046b,119f046b,0,,,35.7234,"(66.0, 32.0)"
11a04625,11a04625,0,,,na,"(21.0, 26.0)"
11ab27f8,11ab27f8,0,,,39.6118,"(29.0, 37.0)"
11c7a8d0,11c7a8d0,0,,,39.8205,"(46.0, 33.0)"
11d06927,11d06927,1,,,34.4718,"(45.0, 37.0)"
11d9ae7b,11d9ae7b,1,,,42.5591,"(29.0, 38.0)"
1200ea6a,1200ea6a,0,,,38.1618,"(38.0, 27.0)"
12c38030,12c38030,1,,,38.8594,"(15.0, 27.0)"
1303a495,1303a495,0,,,44.0157,"(33.0, 37.0)"
132118fc,132118fc,1,,,33.9978,"(17.0, 12.0)"
133f346d,133f346d,0,,,41.914,"(43.0, 12.0)"
135d49fe,135d49fe,0,,,39.6636,"(37.0, 28.0)"
137cdd43,137cdd43,0,,,43.1689,"(34.0, 27.0)"
13acab66,13acab66,1,,,39.9784,"(40.0, 30.0)"
13b318de,13b318de,0,,,34.8715,"(22.0, 20.0)"
13c7bc95,13c7bc95,1,,,42.5848,"(24.0, 63.0)"
146aa91f,146aa91f,1,,,36.4733,"(36.0, 10.0)"
1472a788,1472a788,0,,,35.7411,"(39.0, 32.0)"
154e0b2b,154e0b2b,0,,,40.9805,"(44.0, 51.0)"
15b788fb,15b788fb,0,,,41.2023,"(37.0, 33.0)"
15dbcbf4,15dbcbf4,0,,,39.6484,"(36.0, 18.0)"
15dd8345,15dd8345,0,,,38.8999,"(44.0, 41.0)"
1613016a,1613016a,1,,,39.9784,"(40.0, 50.0)"
161a6860,161a6860,0,,,39.5067,"(40.0, 48.0)"
163541ea,163541ea,0,,,41.8515,"(39.0, 43.0)"
16383865,16383865,1,,,43.9409,"(24.0, 51.0)"
1664c714,1664c714,0,,,34.9664,"(47.0, 16.0)"
1668b420,1668b420,1,,,43.2659,"(41.0, 37.0)"
17018107,17018107,1,,,35.2945,"(23.0, 51.0)"
1740ba41,1740ba41,0,,,43.2888,"(44.0, 41.0)"
17634039,17634039,1,,,36.9052,"(51.0, 74.0)"
1799793b,1799793b,1,,,39.9663,"(24.0, 68.0)"
17d06536,17d06536,1,,,34.4721,"(30.0, 29.0)"
17dcc03a,17dcc03a,1,,,38.02,"(29.0, 38.0)"
17f1c891,17f1c891,1,,,35.3127,"(44.0, 36.0)"
18ec6625,18ec6625,0,,,34.9528,"(37.0, 58.0)"
191a909a,191a909a,0,,,34.1271,"(27.0, 42.0)"
1924ceeb,1924ceeb,1,,,45.2714,"(41.0, 38.0)"
19279980,19279980,0,,,42.6447,"(71.0, 31.0)"
192f56eb,192f56eb,0,,,43.3007,"(14.0, 44.0)"
19c2b122,19c2b122,1,,,39.2325,"(34.0, 47.0)"
19f6736f,19f6736f,0,,,41.1965,"(38.0, 33.0)"
1a00d685,1a00d685,0,,,43.916,"(29.0, 23.0)"
1a18d38b,1a18d38b,0,,,43.1096,"(37.0, 38.0)"
1a58d98b,1a58d98b,0,,,43.1055,"(41.0, 38.0)"
1a6364af,1a6364af,0,,,42.5145,"(26.0, 37.0)"
1a9b4671,1a9b4671,0,,,33.1518,"(35.0, 25.0)"
1abf7cc6,1abf7cc6,1,,,43.9407,"(27.0, 5.0)"
1ad344b5,1ad344b5,0,,,35.6285,"(47.0, 21.0)"
1ae12a6e,1ae12a6e,1,,,35.3112,"(5.0, 61.0)"
1aeb80cf,1aeb80cf,0,,,41.857,"(43.0, 49.0)"
1b059732,1b059732,1,,,41.8181,"(34.0, 37.0)"
1b4308b4,1b4308b4,0,,,na,"(5.0, 13.0)"
1b7acd4c,1b7acd4c,1,,,38.4591,"(68.0, 73.0)"
1bd0680c,1bd0680c,0,,,40.2467,"(41.0, 55.0)"
1c18a39e,1c18a39e,0,,,45.3568,"(19.0, 9.0)"
1c3e9901,1c3e9901,0,,,34.2299,"(40.0, 66.0)"
1c46183a,1c46183a,1,,,35.2957,"(40.0, 36.0)"
1c536d78,1c536d78,0,,,42.5145,"(62.0, 63.0)"
1c607692,1c607692,1,,,39.2166,"(1.0, 4.0)"
1c96b7b4,1c96b7b4,0,,,35.7195,"(44.0, 24.0)"
1cb7fac9,1cb7fac9,1,,,42.5591,"(16.0, 55.0)"
1cc3a54b,1cc3a54b,1,,,43.9392,"(38.0, 37.0)"
1ccbfff1,1ccbfff1,0,,,35.7829,"(25.0, 38.0)"
1d20c783,1d20c783,1,,,38.8594,"(22.0, 60.0)"
1d500cdf,1d500cdf,1,,,33.1315,"(48.0, 19.0)"
1dbb4dd9,1dbb4dd9,1,,,40.6971,"(37.0, 40.0)"
1dc1c160,1dc1c160,1,,,40.3904,"(31.0, 73.0)"
1df59f54,1df59f54,0,,,35.7448,"(49.0, 34.0)"
1dfd85d3,1dfd85d3,1,,,42.559,"(72.0, 34.0)"
1e2c3eb4,1e2c3eb4,1,,,39.9635,"(46.0, 37.0)"
1e7ff021,1e7ff021,0,,,41.8809,"(42.0, 34.0)"
1ef4255b,1ef4255b,1,,,39.9638,"(25.0, 28.0)"
1f0f686e,1f0f686e,1,,,45.2714,"(34.0, 38.0)"
1f24c421,1f24c421,1,,,33.634,"(60.0, 54.0)"
